filepath,transcript,label
data/TESS/OAF_angry\OAF_back_angry.wav,OAF_back_angry,angry
data/TESS/OAF_angry\OAF_bar_angry.wav,OAF_bar_angry,angry
data/TESS/OAF_angry\OAF_base_angry.wav,OAF_base_angry,angry
data/TESS/OAF_angry\OAF_bath_angry.wav,OAF_bath_angry,angry
data/TESS/OAF_angry\OAF_bean_angry.wav,OAF_bean_angry,angry
data/TESS/OAF_angry\OAF_beg_angry.wav,OAF_beg_angry,angry
data/TESS/OAF_angry\OAF_bite_angry.wav,OAF_bite_angry,angry
data/TESS/OAF_angry\OAF_boat_angry.wav,OAF_boat_angry,angry
data/TESS/OAF_angry\OAF_bone_angry.wav,OAF_bone_angry,angry
data/TESS/OAF_angry\OAF_book_angry.wav,OAF_book_angry,angry
data/TESS/OAF_angry\OAF_bought_angry.wav,OAF_bought_angry,angry
data/TESS/OAF_angry\OAF_burn_angry.wav,OAF_burn_angry,angry
data/TESS/OAF_angry\OAF_cab_angry.wav,OAF_cab_angry,angry
data/TESS/OAF_angry\OAF_calm_angry.wav,OAF_calm_angry,angry
data/TESS/OAF_angry\OAF_came_angry.wav,OAF_came_angry,angry
data/TESS/OAF_angry\OAF_cause_angry.wav,OAF_cause_angry,angry
data/TESS/OAF_angry\OAF_chain_angry.wav,OAF_chain_angry,angry
data/TESS/OAF_angry\OAF_chair_angry.wav,OAF_chair_angry,angry
data/TESS/OAF_angry\OAF_chalk_angry.wav,OAF_chalk_angry,angry
data/TESS/OAF_angry\OAF_chat_angry.wav,OAF_chat_angry,angry
data/TESS/OAF_angry\OAF_check_angry.wav,OAF_check_angry,angry
data/TESS/OAF_angry\OAF_cheek_angry.wav,OAF_cheek_angry,angry
data/TESS/OAF_angry\OAF_chief_angry.wav,OAF_chief_angry,angry
data/TESS/OAF_angry\OAF_choice_angry.wav,OAF_choice_angry,angry
data/TESS/OAF_angry\OAF_cool_angry.wav,OAF_cool_angry,angry
data/TESS/OAF_angry\OAF_dab_angry.wav,OAF_dab_angry,angry
data/TESS/OAF_angry\OAF_date_angry.wav,OAF_date_angry,angry
data/TESS/OAF_angry\OAF_dead_angry.wav,OAF_dead_angry,angry
data/TESS/OAF_angry\OAF_death_angry.wav,OAF_death_angry,angry
data/TESS/OAF_angry\OAF_deep_angry.wav,OAF_deep_angry,angry
data/TESS/OAF_angry\OAF_dime_angry.wav,OAF_dime_angry,angry
data/TESS/OAF_angry\OAF_dip_angry.wav,OAF_dip_angry,angry
data/TESS/OAF_angry\OAF_ditch_angry.wav,OAF_ditch_angry,angry
data/TESS/OAF_angry\OAF_dodge_angry.wav,OAF_dodge_angry,angry
data/TESS/OAF_angry\OAF_dog_angry.wav,OAF_dog_angry,angry
data/TESS/OAF_angry\OAF_doll_angry.wav,OAF_doll_angry,angry
data/TESS/OAF_angry\OAF_door_angry.wav,OAF_door_angry,angry
data/TESS/OAF_angry\OAF_fail_angry.wav,OAF_fail_angry,angry
data/TESS/OAF_angry\OAF_fall_angry.wav,OAF_fall_angry,angry
data/TESS/OAF_angry\OAF_far_angry.wav,OAF_far_angry,angry
data/TESS/OAF_angry\OAF_fat_angry.wav,OAF_fat_angry,angry
data/TESS/OAF_angry\OAF_fit_angry.wav,OAF_fit_angry,angry
data/TESS/OAF_angry\OAF_five_angry.wav,OAF_five_angry,angry
data/TESS/OAF_angry\OAF_food_angry.wav,OAF_food_angry,angry
data/TESS/OAF_angry\OAF_gap_angry.wav,OAF_gap_angry,angry
data/TESS/OAF_angry\OAF_gas_angry.wav,OAF_gas_angry,angry
data/TESS/OAF_angry\OAF_gaze_angry.wav,OAF_gaze_angry,angry
data/TESS/OAF_angry\OAF_germ_angry.wav,OAF_germ_angry,angry
data/TESS/OAF_angry\OAF_get_angry.wav,OAF_get_angry,angry
data/TESS/OAF_angry\OAF_gin_angry.wav,OAF_gin_angry,angry
data/TESS/OAF_angry\OAF_goal_angry.wav,OAF_goal_angry,angry
data/TESS/OAF_angry\OAF_good_angry.wav,OAF_good_angry,angry
data/TESS/OAF_angry\OAF_goose_angry.wav,OAF_goose_angry,angry
data/TESS/OAF_angry\OAF_gun_angry.wav,OAF_gun_angry,angry
data/TESS/OAF_angry\OAF_half_angry.wav,OAF_half_angry,angry
data/TESS/OAF_angry\OAF_hall_angry.wav,OAF_hall_angry,angry
data/TESS/OAF_angry\OAF_hash_angry.wav,OAF_hash_angry,angry
data/TESS/OAF_angry\OAF_hate_angry.wav,OAF_hate_angry,angry
data/TESS/OAF_angry\OAF_have_angry.wav,OAF_have_angry,angry
data/TESS/OAF_angry\OAF_haze_angry.wav,OAF_haze_angry,angry
data/TESS/OAF_angry\OAF_hire_angry.wav,OAF_hire_angry,angry
data/TESS/OAF_angry\OAF_hit_angry.wav,OAF_hit_angry,angry
data/TESS/OAF_angry\OAF_hole_angry.wav,OAF_hole_angry,angry
data/TESS/OAF_angry\OAF_home_angry.wav,OAF_home_angry,angry
data/TESS/OAF_angry\OAF_hurl_angry.wav,OAF_hurl_angry,angry
data/TESS/OAF_angry\OAF_hush_angry.wav,OAF_hush_angry,angry
data/TESS/OAF_angry\OAF_jail_angry.wav,OAF_jail_angry,angry
data/TESS/OAF_angry\OAF_jar_angry.wav,OAF_jar_angry,angry
data/TESS/OAF_angry\OAF_join_angry.wav,OAF_join_angry,angry
data/TESS/OAF_angry\OAF_judge_angry.wav,OAF_judge_angry,angry
data/TESS/OAF_angry\OAF_jug_angry.wav,OAF_jug_angry,angry
data/TESS/OAF_angry\OAF_juice_angry.wav,OAF_juice_angry,angry
data/TESS/OAF_angry\OAF_keen_angry.wav,OAF_keen_angry,angry
data/TESS/OAF_angry\OAF_keep_angry.wav,OAF_keep_angry,angry
data/TESS/OAF_angry\OAF_keg_angry.wav,OAF_keg_angry,angry
data/TESS/OAF_angry\OAF_kick_angry.wav,OAF_kick_angry,angry
data/TESS/OAF_angry\OAF_kill_angry.wav,OAF_kill_angry,angry
data/TESS/OAF_angry\OAF_king_angry.wav,OAF_king_angry,angry
data/TESS/OAF_angry\OAF_kite_angry.wav,OAF_kite_angry,angry
